country_id,country_value,indicator_name,year,value,region,incomeLevel,lendingType,longitude,latitude
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2024,319825435256.189,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2023,308446174490.985,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2022,333484637191.804,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2021,288027736159.846,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2020,209516974576.598,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2019,245595833663.934,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2018,258813628122.367,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2017,232936713385.777,Aggregates,Aggregates,Aggregates,,
ZH,Africa Eastern and Southern,Exports of goods and services (current US$),2016,197130248081.966,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Exports of goods and services (current US$),2024,,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Exports of goods and services (current US$),2023,,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Exports of goods and services (current US$),2022,,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Exports of goods and services (current US$),2021,,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Exports of goods and services (current US$),2020,,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Exports of goods and services (current US$),2019,,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Exports of goods and services (current US$),2018,,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Exports of goods and services (current US$),2017,,Aggregates,Aggregates,Aggregates,,
ZI,Africa Western and Central,Exports of goods and services (current US$),2016,,Aggregates,Aggregates,Aggregates,,
1A,Arab World,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
1A,Arab World,Exports of goods and services (current US$),2024,,Aggregates,Aggregates,Aggregates,,
1A,Arab World,Exports of goods and services (current US$),2023,1695255372658.71,Aggregates,Aggregates,Aggregates,,
1A,Arab World,Exports of goods and services (current US$),2022,1792850543608.38,Aggregates,Aggregates,Aggregates,,
1A,Arab World,Exports of goods and services (current US$),2021,1280418222799.26,Aggregates,Aggregates,Aggregates,,
1A,Arab World,Exports of goods and services (current US$),2020,931628564702.073,Aggregates,Aggregates,Aggregates,,
1A,Arab World,Exports of goods and services (current US$),2019,1250081044909.76,Aggregates,Aggregates,Aggregates,,
1A,Arab World,Exports of goods and services (current US$),2018,1297103254480.05,Aggregates,Aggregates,Aggregates,,
1A,Arab World,Exports of goods and services (current US$),2017,1091141483975.71,Aggregates,Aggregates,Aggregates,,
1A,Arab World,Exports of goods and services (current US$),2016,953670218808.409,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,Exports of goods and services (current US$),2025,,Aggregates,Aggregates,Aggregates,,
S3,Caribbean small states,Exports of goods and services (current US$),2024,,Aggregates,Aggregates,Aggregates,,
